x,y,z,c
0.77,0.55,0.656,1
0.77,0.288,0.44,2
0.697,0.234,0.336,2
0.613,0.294,0.174,4
0.533,0.319,0.197,4
0.465,0.375,0.233,4
0.496,0.15,0.227,4
0.685,0.432,0.611,1
0.591,0.299,0.149,4
0.459,0.401,0.18,4
0.55,0.663,0.642,1
0.444,0.392,0.327,4
0.276,0.224,0.261,4
0.778,0.529,0.704,1
0.558,0.319,0.349,4
0.654,0.26,0.475,2
0.691,0.267,0.33,2
0.426,0.133,0.205,4
0.402,0.141,0.229,4
0.484,0.747,0.356,3
0.378,0.895,0.414,3
0.509,0.603,0.442,1
0.548,0.949,0.783,3
0.615,0.894,0.696,3
0.658,0.917,0.713,3
0.483,0.404,0.575,1
0.682,0.415,0.632,1
0.493,0.751,0.638,3
0.478,0.357,0.547,4
0.796,0.946,0.805,3
0.605,0.284,0.551,2
0.436,0.371,0.343,4
0.608,0.619,0.678,1
0.731,0.674,0.701,1
0.858,0.66,0.933,1
0.548,0.948,0.636,3
0.366,0.996,0.0666,3
0.334,0.895,0.552,3
0.574,0.762,0.793,3
0.338,0.253,0.0351,0
0.374,0.474,0.0739,4
0.622,0.406,0.17,4
0.48,0.424,0.289,4
0.488,0.228,0.266,4
0.58,0.476,0.747,1
0.715,0.535,0.778,1
0.746,0.306,0.545,2
0.432,0.478,0.476,4
0.348,0.301,0.223,4
0.454,0.0195,0.0433,0
0.0813,0.075,0.0358,0
0.184,0.0386,0.0373,0
0.237,0.683,0.592,3
0.397,0.688,0.64,3
0.261,0.681,0.623,3
0.549,0.589,0.628,1
0.456,0.348,0.302,4
0.519,0.357,0.669,2
0.56,0.367,0.321,4
0.671,0.665,0.691,1
0.724,0.693,0.739,1
0.553,0.4,0.672,1
0.539,0.294,0.43,4
0.556,0.659,0.906,1
0.729,0.604,0.936,1
0.278,0.488,0.0849,0
0.31,0.277,0.255,4
0.266,0.909,0.521,3
0.5,0.762,0.38,3
0.469,0.865,0.967,3
0.552,0.514,0.387,4
0.552,0.834,0.71,3
0.462,0.131,0.356,4
0.415,0.367,0.559,4
0.54,0.883,0.399,3
0.336,0.518,0.0854,4
0.253,0.64,0.111,4
0.27,0.942,0.543,3
0.669,0.698,0.924,1
0.787,0.395,0.949,1
0.287,0.495,0.0748,0
0.359,0.376,0.0582,0
0.727,0.578,0.643,1
0.408,0.522,0.562,1
0.316,0.765,0.528,3
